t_c,v_ms,v_kmh,leak,Sigma
0.5,20,72,0.0000,0.1539
0.5,28,101,0.0000,0.2155
0.5,36,130,0.0000,0.2770
0.5,44,158,0.0000,0.3386
0.5,52,187,0.0000,0.4001
0.5,60,216,0.0000,0.4617
0.5,68,245,0.0000,0.5233
0.5,76,274,0.0000,0.5848
0.5,84,302,0.0000,0.6464
0.5,92,331,0.0000,0.7079
0.5,100,360,0.0000,0.7695
0.5,108,389,0.0000,0.8311
0.5,116,418,0.0000,0.8926
0.5,124,446,0.0000,0.9542
0.5,132,475,0.0000,1.0157
0.5,140,504,0.0000,1.0773
0.5,148,533,0.0000,1.1389
0.5,156,562,0.0000,1.2004
0.5,164,590,0.0000,1.2620
1.0,20,72,0.0000,0.3078
1.0,28,101,0.0000,0.4309
1.0,36,130,0.0000,0.5540
1.0,44,158,0.0000,0.6772
1.0,52,187,0.0000,0.8003
1.0,60,216,0.0000,0.9234
1.0,68,245,0.0000,1.0465
1.0,76,274,0.0000,1.1696
1.0,84,302,0.0000,1.2928
1.0,92,331,0.0008,1.4159
1.0,100,360,0.0083,1.5390
1.0,108,389,0.0192,1.6621
1.0,116,418,0.0192,1.7852
1.0,124,446,0.0200,1.9083
1.0,132,475,0.1017,2.0315
1.0,140,504,0.0558,2.1546
1.0,148,533,0.1592,2.2777
1.0,156,562,0.1842,2.4008
1.0,164,590,0.1825,2.5239
1.5,20,72,0.0000,0.4617
1.5,28,101,0.0000,0.6464
1.5,36,130,0.0000,0.8311
1.5,44,158,0.0000,1.0157
1.5,52,187,0.0000,1.2004
1.5,60,216,0.0025,1.3851
1.5,68,245,0.0125,1.5698
1.5,76,274,0.0567,1.7544
1.5,84,302,0.0358,1.9391
1.5,92,331,0.1092,2.1238
1.5,100,360,0.1283,2.3085
1.5,108,389,0.1000,2.4932
1.5,116,418,0.2775,2.6778
1.5,124,446,0.2258,2.8625
1.5,132,475,0.2475,3.0472
1.5,140,504,0.2850,3.2319
1.5,148,533,0.3767,3.4166
1.5,156,562,0.3767,3.6012
1.5,164,590,0.3400,3.7859
